"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_km","duration_seconds"
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Roll Out Shoulder",,"",0,"normal",,,,120
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Roll Out Shoulder",,"",1,"normal",,,,120
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Roll Out Shoulder",,"",2,"normal",,,,120
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Roll Out Shoulder",,"",3,"normal",,,,120
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Floss Shoulders",,"",0,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Floss Shoulders",,"",1,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Floss Shoulders",,"",2,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Band Pullaparts",,"",0,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Band Pullaparts",,"",1,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Band Pullaparts",,"",2,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Outward Shoulder Rotator",,"",0,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Outward Shoulder Rotator",,"",1,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Outward Shoulder Rotator",,"",2,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Scapular Rectraction and Protraction",,"",0,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Scapular Rectraction and Protraction",,"",1,"normal",,12,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Scapular Rectraction and Protraction",,"",2,"normal",,12,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Lunge with Twist - Stretch Shoulder And Core Rotation",,"",0,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Lunge with Twist - Stretch Shoulder And Core Rotation",,"",1,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Lunge with Twist - Stretch Shoulder And Core Rotation",,"",2,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Lunge with Twist - Stretch Shoulder And Core Rotation",,"",3,"normal",,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Bird/Dog 1",,"",0,"normal",,,,30
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Bird/Dog 1",,"",1,"normal",,,,30
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Bird/Dog 1",,"",2,"normal",,,,30
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Bird/Dog 1",,"",3,"normal",,,,30
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Arnold Press (Dumbbell)",,"",0,"normal",20,15,,
"Shoulders and Core - At home","29 Jan 2022, 15:15","29 Jan 2022, 16:23","","Arnold Press (Dumbbell)",,"",1,"normal",20,15,,
